               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025101,            0.016901,           0.0044018,             0.83553,             0.78959,             0.84448,             0.56813,            0.037246,            0.019611,            0.011649,           0.0082675,           0.0082675,           0.0082675
                  37,            0.025513,             0.01681,           0.0046845,             0.88142,             0.84155,             0.88385,             0.58785,            0.038017,            0.018821,            0.010886,            0.008218,            0.008218,            0.008218
                  38,            0.024903,            0.017009,           0.0047609,             0.92897,             0.87311,              0.9177,             0.60326,            0.036225,            0.018573,             0.01049,           0.0081685,           0.0081685,           0.0081685
                  39,            0.025205,            0.016887,           0.0042913,             0.86934,             0.80053,             0.84042,             0.57064,              0.0372,            0.019389,            0.010763,            0.008119,            0.008119,            0.008119
                  40,            0.023756,            0.016161,            0.004323,             0.92257,             0.80606,             0.89757,              0.5816,            0.038588,            0.020625,             0.01139,           0.0080695,           0.0080695,           0.0080695
                  41,            0.024193,            0.015923,           0.0042412,             0.91458,             0.84838,             0.91391,             0.56847,            0.037368,            0.020096,            0.010515,             0.00802,             0.00802,             0.00802
                  42,            0.024125,            0.015953,           0.0044862,             0.93886,             0.80418,             0.89728,             0.57591,            0.036843,             0.02152,            0.011267,           0.0079705,           0.0079705,           0.0079705
                  43,            0.026328,            0.017301,           0.0042917,             0.87809,             0.78167,             0.85652,             0.57529,            0.037475,            0.021292,            0.012598,            0.007921,            0.007921,            0.007921
                  44,            0.024753,            0.016147,           0.0039424,             0.90335,              0.7376,              0.8323,             0.55088,            0.037305,             0.02091,            0.013968,           0.0078715,           0.0078715,           0.0078715
                  45,            0.023734,            0.015808,           0.0045624,              0.9192,             0.76303,             0.85013,             0.57532,            0.037272,            0.019492,            0.013032,            0.007822,            0.007822,            0.007822
                  46,            0.022995,            0.015514,           0.0043553,             0.93064,             0.80052,              0.8937,             0.60959,            0.036003,            0.019102,            0.012463,           0.0077725,           0.0077725,           0.0077725
                  47,             0.02279,            0.015938,           0.0041584,             0.88318,             0.81625,             0.89037,             0.59051,            0.036148,            0.019536,            0.012734,            0.007723,            0.007723,            0.007723
                  48,            0.023974,            0.015502,           0.0039983,             0.91203,               0.831,              0.9036,             0.59514,            0.035464,            0.019413,            0.013021,           0.0076735,           0.0076735,           0.0076735
                  49,            0.022585,            0.015309,           0.0039924,             0.92077,             0.77212,             0.87671,             0.58203,            0.037693,            0.021303,              0.0125,            0.007624,            0.007624,            0.007624
                  50,            0.023621,            0.015798,           0.0038804,             0.89654,               0.815,             0.89702,              0.5886,            0.036539,            0.020764,            0.011719,           0.0075745,           0.0075745,           0.0075745
                  51,            0.021334,            0.014758,           0.0039512,             0.92908,             0.81362,             0.90219,             0.56411,            0.036851,            0.021455,            0.010588,            0.007525,            0.007525,            0.007525
                  52,            0.022838,            0.015718,           0.0042016,             0.94618,                0.79,             0.87464,             0.56884,            0.036933,            0.021748,            0.010946,           0.0074755,           0.0074755,           0.0074755
                  53,            0.022027,            0.014993,           0.0040936,             0.94808,             0.87167,             0.92481,             0.60317,            0.036195,            0.019323,           0.0090402,            0.007426,            0.007426,            0.007426
                  54,            0.022007,            0.014751,           0.0038788,             0.93801,             0.85534,             0.91498,             0.58837,            0.035837,            0.019693,           0.0089636,           0.0073765,           0.0073765,           0.0073765
                  55,            0.021114,            0.015011,           0.0039248,             0.94541,             0.80195,             0.89026,             0.59791,            0.035859,             0.02072,            0.010226,            0.007327,            0.007327,            0.007327
                  56,            0.021729,            0.014758,           0.0039907,             0.92828,             0.78108,             0.85623,             0.56934,             0.03684,            0.022054,            0.011328,           0.0072775,           0.0072775,           0.0072775
                  57,            0.021938,            0.014768,           0.0038023,              0.9385,              0.8116,             0.87558,             0.58949,            0.035887,            0.021204,            0.011171,            0.007228,            0.007228,            0.007228
                  58,             0.02172,             0.01521,           0.0039509,             0.92303,             0.74528,             0.84307,             0.57238,            0.037584,            0.023478,            0.013142,           0.0071785,           0.0071785,           0.0071785
                  59,            0.022739,             0.01481,            0.003859,             0.92346,             0.73396,             0.83215,             0.57898,            0.036975,            0.022722,             0.01476,            0.007129,            0.007129,            0.007129
                  60,            0.020637,            0.014704,           0.0039345,             0.88203,             0.77519,             0.84286,             0.58242,            0.036513,            0.020449,            0.014444,           0.0070795,           0.0070795,           0.0070795
                  61,            0.021459,            0.015254,           0.0042303,             0.85173,             0.75667,             0.81893,             0.56048,            0.038768,            0.022403,            0.013578,             0.00703,             0.00703,             0.00703
                  62,            0.020722,            0.014781,           0.0038911,             0.90912,             0.78892,             0.86138,             0.58692,            0.036365,            0.020482,             0.01162,           0.0069805,           0.0069805,           0.0069805
                  63,            0.020918,            0.014772,           0.0039758,             0.88547,             0.78538,             0.84466,              0.5816,            0.036538,            0.020198,            0.012913,            0.006931,            0.006931,            0.006931
                  64,            0.020985,            0.014639,           0.0036432,             0.86183,             0.76596,             0.81362,             0.56294,            0.038399,             0.02232,            0.013801,           0.0068815,           0.0068815,           0.0068815
                  65,            0.021433,            0.014805,           0.0037734,             0.88146,               0.765,             0.82995,             0.56713,             0.03619,            0.020912,            0.012223,            0.006832,            0.006832,            0.006832
                  66,            0.020869,            0.014295,           0.0040152,             0.88391,             0.78484,             0.85213,             0.55401,            0.038271,            0.022384,            0.012172,           0.0067825,           0.0067825,           0.0067825
                  67,            0.020851,            0.014982,           0.0037134,             0.87104,             0.74833,             0.82182,             0.55987,             0.03807,            0.023418,            0.012451,            0.006733,            0.006733,            0.006733
                  68,            0.021521,            0.014769,           0.0039161,             0.90392,             0.76333,             0.83282,             0.56456,            0.037084,            0.022742,            0.013601,           0.0066835,           0.0066835,           0.0066835
                  69,            0.020351,            0.014173,           0.0036375,             0.86967,              0.7756,             0.83632,             0.56514,             0.03705,            0.022925,            0.014183,            0.006634,            0.006634,            0.006634
                  70,            0.019828,            0.014199,           0.0038133,             0.90178,             0.74833,             0.85056,             0.56729,             0.03703,            0.022772,             0.01309,           0.0065845,           0.0065845,           0.0065845
                  71,             0.02057,            0.014391,            0.003853,             0.90932,                0.77,             0.85575,             0.57933,            0.036218,            0.022103,            0.011633,            0.006535,            0.006535,            0.006535
                  72,             0.02046,            0.014001,           0.0036939,             0.89707,             0.79053,             0.85535,             0.59467,            0.036201,            0.021298,            0.011851,           0.0064855,           0.0064855,           0.0064855
                  73,            0.019227,            0.014272,            0.003732,             0.88764,             0.78944,             0.85445,             0.57316,            0.037119,             0.02187,             0.01222,            0.006436,            0.006436,            0.006436
                  74,            0.019791,            0.014185,           0.0037282,             0.88207,             0.77841,              0.8492,             0.59535,            0.035336,             0.02066,            0.012908,           0.0063865,           0.0063865,           0.0063865
                  75,            0.019077,            0.013404,           0.0036159,             0.87706,             0.77093,             0.83858,             0.58827,            0.035219,            0.020617,            0.013227,            0.006337,            0.006337,            0.006337
                  76,            0.019824,            0.013989,           0.0038349,             0.92299,             0.76333,             0.83679,               0.576,            0.036478,             0.02171,            0.014255,           0.0062875,           0.0062875,           0.0062875
                  77,            0.019356,            0.013722,           0.0034499,             0.91303,             0.77484,             0.85334,             0.59952,            0.035681,            0.020103,            0.013155,            0.006238,            0.006238,            0.006238
                  78,            0.017788,            0.012891,           0.0036433,             0.91282,             0.79385,             0.85239,             0.60881,            0.035137,            0.019994,            0.012053,           0.0061885,           0.0061885,           0.0061885
                  79,            0.019686,            0.013884,           0.0038855,             0.92149,             0.80207,             0.87276,             0.60521,            0.034994,            0.019176,            0.011567,            0.006139,            0.006139,            0.006139
                  80,            0.018084,            0.013032,           0.0034769,             0.91386,             0.83611,             0.89249,             0.61627,            0.033891,            0.019393,            0.010751,           0.0060895,           0.0060895,           0.0060895
                  81,            0.019642,            0.013724,           0.0037012,             0.90578,             0.80911,             0.87105,             0.60853,            0.034707,            0.019873,            0.011702,             0.00604,             0.00604,             0.00604
                  82,            0.018568,            0.013209,           0.0036763,             0.93395,             0.82138,             0.90289,             0.62848,            0.033591,            0.019565,            0.010575,           0.0059905,           0.0059905,           0.0059905
                  83,             0.01934,            0.014109,           0.0038234,             0.95302,             0.77223,             0.86757,             0.62089,            0.034248,            0.019816,            0.011596,            0.005941,            0.005941,            0.005941
                  84,            0.018499,            0.012827,           0.0035807,             0.93944,             0.78323,             0.87408,             0.62647,            0.032984,             0.01952,            0.011017,           0.0058915,           0.0058915,           0.0058915
                  85,            0.018693,             0.01357,           0.0036051,              0.8864,             0.79365,             0.85791,             0.62682,            0.033898,            0.020576,            0.011994,            0.005842,            0.005842,            0.005842
                  86,            0.018087,            0.012993,           0.0036933,             0.90094,             0.79232,             0.86215,             0.60538,             0.03405,            0.020286,            0.012051,           0.0057925,           0.0057925,           0.0057925
                  87,            0.018273,            0.012851,           0.0036099,             0.88784,             0.79846,             0.86087,             0.60779,            0.034001,            0.020501,            0.012057,            0.005743,            0.005743,            0.005743
                  88,            0.017704,            0.012565,           0.0036828,             0.90124,             0.79241,             0.87026,             0.61235,            0.033473,            0.020772,            0.012192,           0.0056935,           0.0056935,           0.0056935
                  89,             0.01754,            0.012421,           0.0036017,             0.94511,             0.82655,             0.90015,             0.64859,             0.03242,            0.019297,            0.010502,            0.005644,            0.005644,            0.005644
                  90,            0.018814,            0.013359,           0.0033084,             0.93573,             0.81947,             0.89658,              0.6335,             0.03265,            0.019518,            0.010786,           0.0055945,           0.0055945,           0.0055945
                  91,            0.018814,            0.013585,           0.0035271,             0.92063,             0.79576,             0.87797,              0.6243,            0.033129,            0.020121,            0.011437,            0.005545,            0.005545,            0.005545
                  92,              0.0191,            0.013123,           0.0035018,             0.89684,             0.78124,             0.86961,             0.63166,            0.032633,            0.019776,            0.011357,           0.0054955,           0.0054955,           0.0054955
                  93,            0.017942,            0.012728,           0.0034634,             0.91765,             0.81734,              0.8933,             0.64783,            0.032018,            0.018911,            0.011949,            0.005446,            0.005446,            0.005446
                  94,            0.019118,            0.012957,           0.0035171,             0.88639,             0.78865,             0.87013,             0.63767,             0.03236,            0.019652,            0.013492,           0.0053965,           0.0053965,           0.0053965
                  95,            0.018245,            0.013213,           0.0034544,             0.88267,              0.8205,             0.87848,             0.64207,            0.032109,            0.018927,            0.012774,            0.005347,            0.005347,            0.005347
                  96,            0.018041,            0.012563,           0.0033245,              0.9141,             0.81993,             0.89484,             0.62489,            0.033104,            0.019264,            0.011928,           0.0052975,           0.0052975,           0.0052975
                  97,            0.017503,            0.012618,           0.0032565,             0.92178,             0.81167,             0.88314,              0.6122,            0.033156,            0.019457,            0.011228,            0.005248,            0.005248,            0.005248
                  98,            0.017138,            0.012982,           0.0034352,             0.92743,             0.80962,             0.87398,             0.61838,            0.032885,            0.019483,             0.01112,           0.0051985,           0.0051985,           0.0051985
                  99,            0.017784,            0.012738,           0.0034393,             0.90616,             0.82074,             0.87721,             0.62417,            0.033169,             0.01976,            0.012222,            0.005149,            0.005149,            0.005149
                 100,            0.017395,             0.01267,           0.0033559,             0.91577,             0.77833,             0.85979,             0.61636,            0.033155,            0.020541,            0.013605,           0.0050995,           0.0050995,           0.0050995
                 101,             0.01799,            0.012739,           0.0034298,             0.93649,             0.76241,             0.86307,             0.60696,            0.034169,            0.021708,            0.012223,             0.00505,             0.00505,             0.00505
                 102,            0.016853,            0.012489,           0.0033584,             0.92973,             0.78162,              0.8624,             0.61755,            0.034111,            0.020787,            0.011509,           0.0050005,           0.0050005,           0.0050005
                 103,            0.017122,            0.011995,           0.0034723,             0.89959,             0.79614,             0.85822,             0.62891,            0.033289,            0.019781,            0.011101,            0.004951,            0.004951,            0.004951
                 104,            0.016561,            0.012498,           0.0034532,             0.93087,             0.77667,              0.8478,             0.61195,            0.033745,            0.021123,            0.011575,           0.0049015,           0.0049015,           0.0049015
